case_id,packet_index,seed,error_mode,burst_length,detected_checksum,detected_crc10,detected_crc16,detected_crc32,time_checksum,time_crc10,time_crc16,time_crc32,detected_by,failed_by
7,6,8142033,burst,15,1,1,1,1,272,2641,724,1637,"checksum,crc10,crc16,crc32",
7,7,8142033,burst,15,1,1,1,1,242,2557,728,1686,"checksum,crc10,crc16,crc32",
7,8,8142033,burst,15,1,1,1,1,165,438,377,286,"checksum,crc10,crc16,crc32",
7,9,8142033,burst,15,1,1,1,1,151,391,290,283,"checksum,crc10,crc16,crc32",
7,10,8142033,burst,15,1,1,1,1,315,2116,753,1884,"checksum,crc10,crc16,crc32",
8,0,8142034,burst,16,1,1,1,1,2156,409,2016,685,"checksum,crc10,crc16,crc32",
8,1,8142034,burst,16,1,1,1,1,2221,561,475,2489,"checksum,crc10,crc16,crc32",
8,2,8142034,burst,16,1,1,1,1,1238,1644,981,5742,"checksum,crc10,crc16,crc32",
8,3,8142034,burst,16,0,1,1,1,384,1387,557,1780,"crc10,crc16,crc32",checksum
8,4,8142034,burst,16,1,1,1,1,505,1293,449,4140,"checksum,crc10,crc16,crc32",
8,5,8142034,burst,16,1,1,1,1,408,1264,711,3901,"checksum,crc10,crc16,crc32",
8,6,8142034,burst,16,1,1,1,1,359,166,171,449,"checksum,crc10,crc16,crc32",
8,7,8142034,burst,16,1,1,1,1,415,1257,511,1754,"checksum,crc10,crc16,crc32",
8,8,8142034,burst,16,1,1,1,1,478,1302,442,1847,"checksum,crc10,crc16,crc32",
8,9,8142034,burst,16,1,1,1,1,425,1273,406,4610,"checksum,crc10,crc16,crc32",
8,10,8142034,burst,16,1,1,1,1,442,1276,812,4282,"checksum,crc10,crc16,crc32",
9,0,8142035,burst,17,1,1,1,1,587,325,775,749,"checksum,crc10,crc16,crc32",
9,1,8142035,burst,17,1,1,1,1,3177,1968,3737,5975,"checksum,crc10,crc16,crc32",
9,2,8142035,burst,17,1,1,1,1,1632,310,1387,411,"checksum,crc10,crc16,crc32",
9,3,8142035,burst,17,1,1,1,1,2706,1441,1278,1548,"checksum,crc10,crc16,crc32",
